prod_id,prod_name,brand,sku,prod_price,prod_category,pos_name,pos_stock,pos_price
9215,"Catit Recipes Kitten Chicken Entrée – High-Protein Wet Food for Kittens with DHA for Development, Bone Broth Hydration, Prebiotics & Postbiotics for Gut Health, Taurine for Support 3oz",Catit,022517450017,1.41,CatFoodCan,Catit Recipes Kitten Chicken E,-11.0,1.41
9216,"Catit Recipes Weight Control Chicken Entrée – Low-Fat, High-Protein Wet Cat Food, L-Carnitine, Prebiotics, Omega-3 for Skin & Coat, Hydrating Bone Broth, 100% Balanced Meal 3oz",Catit,022517450130,1.41,CatFoodCan,Catit Recipes Weight Control C,-1.0,1.41
9166,Fromm Diner Breakfast Sam's Steak and Eggs 12.5oz,Fromm,072705132645,6.42,DogFoodCan,Fromm Diner Breakfast Sam's St,0.0,6.42
9178,Nutrisource Harvest Selects Field & Forest Wet Dog Food 13oz,Nutrisource,073893020363,2.82,DogFoodCan,Nutrisource Harvest Selects Fi,0.0,2.82
7178,Penn Plax Feeder 7 Day,Penn-Plax,030172062810,4.35,FishFood,Penn Plax Feeder 7 Day,0.0,4.36
7185,Zoo Med Mini Banquet Feeder Pleco,Zoo Med,180181905339,3.29,FishFood,Tuffy Mega,0.0,27.29
7283,Tetra Bettamin .98oz,Tetra,046798780076,4.35,FishFood,Tetra Bettamin .98oz,0.0,4.36
7391,Zoo Med Feeder Pleco,Zoo Med,097612380156,3.26,FishFood,Zoo Med Feeder Pleco,0.0,3.27
9392,Marina Betta Buffet Blocks,Marina,015561166768,3.26,FishFood,Marina Betta Buffet Blocks,0.0,3.27
9411,Omega One Super Color Cichlid Sinking Pellet Fish Food 9oz,Omega One,698220854314,14.16,FishFood,Omega One Super Color Cichlid,0.0,13.64
9414,Fluval Bug Bites Cichlid Granules 1.59 oz,Fluval,015561165808,7.62,FishFood,Fluval Bug Bites Cichlid Granu,0.0,7.63
9535,Hikari USA Bio-Pure Frozen Mysis Shrimp Fish Food,Hikari,042055309202,5.44,FishFood,Hikari Mysis shrimp 3.5,-1.0,5.45
10111,Omega One Bloodworm Pods,,698220700192,9.80,FishFood,Omega One Bloodworm Pods,0.0,9.44
10112,Freshwater Frenzy,,000945880286,8.71,FishFood,Freshwater Frenzy,0.0,8.73
10173,GlloFish Beta Flakes,,046798783015,4.35,FishFood,GlloFish Beta Flakes,0.0,4.36
10300,Ginger Premium Floating Pond Pellets,,036274008626,18.52,FishFood,Ginger Premium Floating Pond Pellets,0.0,28.34
10302,Ginger Floating Pond Pellets,,036274008527,20.70,FishFood,Ginger Floating Pond Pellets,0.0,19.94
10334,Frozen Beef Heartys 3.5oz,San Francisco Bay Brand,000945880859,8.71,FishFood,Frozen Beef Heartys 3.5oz,0.0,8.73
10341,Hikari Frozen Blood Worms Cube,Hikari,042055301701,7.62,FishFood,Hikari Frozen Blood Worms Cube,-1.0,7.63
563,Pangea Hanging Orchid Purple,Pangea,50005832904,13.09,accessories,Pangea Hanging Orchid Purple,0.0,12.59
564,Pangea Hanging Caladium Bush Large,Pangea,850005832225,14.19,accessories,Pangea Hanging Caladium Bush L,-1.0,13.64
797,Harris Diatomaceous Earth 2 Lbs,Harris,72725004076,17.49,accessories,Harris Diatomaceous Earth 2 Lb,0.0,16.79
798,Bug Blaster,Penn-Plax,030172004902,41.49,accessories,Bug Blaster,0.0,39.89
802,TropiClean Ntrl Flea & Tickk Soothing Sham,TropiClean,45095202542,14.19,accessories,TropiClean Ntrl Flea & Tickk S,0.0,13.64
810,Weeaway Flea Spray,Wee-Away,50024364318,27.29,accessories,Weeaway Flea Spray,0.0,26.24
1229,Happy Beaks the Voyager,Happy,644472000610,62.19,accessories,Happy Beaks the Voyager,0.0,59.84
1235,Aromacare Calmin Lavender,Professional Pet Products,042955009554,11.99,accessories,Aromacare Calmin Lavender,-1.0,11.54
1236,Aromacare Chamomile,Professional Pet Products,042955009752,11.99,accessories,Aromacare Chamomile,-1.0,11.54
1262,Bark2basics Citrus Plus,Bark2Basics,745855840011,21.79,accessories,Bark2basics Citrus Plus,0.0,20.99
1270,Petcrest Two in One,PetCrest,784099029172,15.29,accessories,Petcrest Two in One Pet Shampoo & Conditioner,0.0,8.73
1272,Petcrest Brighten,PetCrest,784099029141,15.29,accessories,Petcrest Brighten,0.0,14.69
1273,Petcrest Lucky Puppy,PetCrest,784099029103,13.09,accessories,Petcrest Lucky Puppy,0.0,12.59
1291,Tropiclean Flea & Tickk Relief,TropiClean,645095202115,14.19,accessories,Tropiclean Flea & Tickk Relief,0.0,13.64
1356,Tropiclean Essentials Shea Butter Sham,TropiClean,645095004214,15.29,accessories,Tropiclean Essentials Shea But,0.0,14.69
1358,Weeaway Laundry Booster,Wee-Away,850024364462,27.29,accessories,Weeaway Laundry Booster,0.0,26.24
1361,Weeaway Odor Fogger Hawain Breeze,Wee-Away,850024364332,16.39,accessories,Weeaway Odor Fogger Hawain Bre,0.0,15.74
1456,Petag Esbilac Milk,PetAg,020279998129,8.79,accessories,Petag Esbilac Milk,0.0,8.73
1538,Safari Shed Magic Long Hair Medium,Safari,076484961267,20.79,accessories,Safari Shed Magic Long Hair Me,0.0,19.94
1549,Spot Clean Paws Mat,Spot,077234500071,39.29,accessories,Camo Sweatshirt Extra Large,0.0,27.29
1553,Safari Styptic Powder,Safari,76484513190,13.09,accessories,Safari Styptic Powder,0.0,12.59
1554,Pennplax Nail Grinder,Penn-Plax,030172101397,38.19,accessories,Plaid Sweater Red Medium,0.0,24.14
1575,Kong Zoomgroom Bubbles,Kong,035585529011,14.19,accessories,Kong Zoom Groom,0.0,16.79
1586,Comfy Groom,Penn-Plax,030172084430,18.59,accessories,Comfy Groom,0.0,17.84
1588,Petcrest Shedding Blade,PetCrest,784099026072,11.99,accessories,Petcrest Shedding Blade,0.0,11.54
1600,Sodapup Emat Duckies,SodaPup,810216026257,17.49,accessories,Sodapup Emat Duckies,0.0,16.79
