prod_id,prod_name,prod_category,sku,pos_name,pos_stock,pos_price
9215,"Catit Recipes Kitten Chicken Entrée – High-Protein Wet Food for Kittens with DHA for Development, Bone Broth Hydration, Prebiotics & Postbiotics for Gut Health, Taurine for Support 3oz",CatFoodCan,022517450017,Catit Recipes Kitten Chicken E,-11.0,1.41
9216,"Catit Recipes Weight Control Chicken Entrée – Low-Fat, High-Protein Wet Cat Food, L-Carnitine, Prebiotics, Omega-3 for Skin & Coat, Hydrating Bone Broth, 100% Balanced Meal 3oz",CatFoodCan,022517450130,Catit Recipes Weight Control C,-1.0,1.41
9166,Fromm Diner Breakfast Sam's Steak and Eggs 12.5oz,DogFoodCan,072705132645,Fromm Diner Breakfast Sam's St,0.0,6.42
9178,Nutrisource Harvest Selects Field & Forest Wet Dog Food 13oz,DogFoodCan,073893020363,Nutrisource Harvest Selects Fi,0.0,2.82
7178,Penn Plax Feeder 7 Day,FishFood,030172062810,Penn Plax Feeder 7 Day,0.0,4.36
7185,Zoo Med Mini Banquet Feeder Pleco,FishFood,180181905339,Tuffy Mega,0.0,27.29
7283,Tetra Bettamin .98oz,FishFood,046798780076,Tetra Bettamin .98oz,0.0,4.36
7391,Zoo Med Feeder Pleco,FishFood,097612380156,Zoo Med Feeder Pleco,0.0,3.27
9392,Marina Betta Buffet Blocks,FishFood,015561166768,Marina Betta Buffet Blocks,0.0,3.27
9411,Omega One Super Color Cichlid Sinking Pellet Fish Food 9oz,FishFood,698220854314,Omega One Super Color Cichlid,0.0,13.64
9414,Fluval Bug Bites Cichlid Granules 1.59 oz,FishFood,015561165808,Fluval Bug Bites Cichlid Granu,0.0,7.63
9535,Hikari USA Bio-Pure Frozen Mysis Shrimp Fish Food,FishFood,042055309202,Hikari Mysis shrimp 3.5,-1.0,5.45
10111,Omega One Bloodworm Pods,FishFood,698220700192,Omega One Bloodworm Pods,0.0,9.44
10112,Freshwater Frenzy,FishFood,000945880286,Freshwater Frenzy,0.0,8.73
10173,GlloFish Beta Flakes,FishFood,046798783015,GlloFish Beta Flakes,0.0,4.36
10300,Ginger Premium Floating Pond Pellets,FishFood,036274008626,Ginger Premium Floating Pond Pellets,0.0,28.34
10302,Ginger Floating Pond Pellets,FishFood,036274008527,Ginger Floating Pond Pellets,0.0,19.94
10334,Frozen Beef Heartys 3.5oz,FishFood,000945880859,Frozen Beef Heartys 3.5oz,0.0,8.73
10341,Hikari Frozen Blood Worms Cube,FishFood,042055301701,Hikari Frozen Blood Worms Cube,-1.0,7.63
563,Pangea Hanging Orchid Purple,accessories,50005832904,Pangea Hanging Orchid Purple,0.0,12.59
564,Pangea Hanging Caladium Bush Large,accessories,850005832225,Pangea Hanging Caladium Bush L,-1.0,13.64
797,Harris Diatomaceous Earth 2 Lbs,accessories,72725004076,Harris Diatomaceous Earth 2 Lb,0.0,16.79
798,Bug Blaster,accessories,030172004902,Bug Blaster,0.0,39.89
802,TropiClean Ntrl Flea & Tickk Soothing Sham,accessories,45095202542,TropiClean Ntrl Flea & Tickk S,0.0,13.64
810,Weeaway Flea Spray,accessories,50024364318,Weeaway Flea Spray,0.0,26.24
1229,Happy Beaks the Voyager,accessories,644472000610,Happy Beaks the Voyager,0.0,59.84
1235,Aromacare Calmin Lavender,accessories,042955009554,Aromacare Calmin Lavender,-1.0,11.54
1236,Aromacare Chamomile,accessories,042955009752,Aromacare Chamomile,-1.0,11.54
1262,Bark2basics Citrus Plus,accessories,745855840011,Bark2basics Citrus Plus,0.0,20.99
1270,Petcrest Two in One,accessories,784099029172,Petcrest Two in One Pet Shampoo & Conditioner,0.0,8.73
1272,Petcrest Brighten,accessories,784099029141,Petcrest Brighten,0.0,14.69
1273,Petcrest Lucky Puppy,accessories,784099029103,Petcrest Lucky Puppy,0.0,12.59
1291,Tropiclean Flea & Tickk Relief,accessories,645095202115,Tropiclean Flea & Tickk Relief,0.0,13.64
1356,Tropiclean Essentials Shea Butter Sham,accessories,645095004214,Tropiclean Essentials Shea But,0.0,14.69
1358,Weeaway Laundry Booster,accessories,850024364462,Weeaway Laundry Booster,0.0,26.24
1361,Weeaway Odor Fogger Hawain Breeze,accessories,850024364332,Weeaway Odor Fogger Hawain Bre,0.0,15.74
1456,Petag Esbilac Milk,accessories,020279998129,Petag Esbilac Milk,0.0,8.73
1538,Safari Shed Magic Long Hair Medium,accessories,076484961267,Safari Shed Magic Long Hair Me,0.0,19.94
1549,Spot Clean Paws Mat,accessories,077234500071,Camo Sweatshirt Extra Large,0.0,27.29
1553,Safari Styptic Powder,accessories,76484513190,Safari Styptic Powder,0.0,12.59
1554,Pennplax Nail Grinder,accessories,030172101397,Plaid Sweater Red Medium,0.0,24.14
1575,Kong Zoomgroom Bubbles,accessories,035585529011,Kong Zoom Groom,0.0,16.79
1586,Comfy Groom,accessories,030172084430,Comfy Groom,0.0,17.84
1588,Petcrest Shedding Blade,accessories,784099026072,Petcrest Shedding Blade,0.0,11.54
1600,Sodapup Emat Duckies,accessories,810216026257,Sodapup Emat Duckies,0.0,16.79
1601,Sodapup Emat Tree of Life,accessories,810216026691,Sodapup Emat Tree of Life,0.0,17.84
1602,Sodapup Ebowl Great Outdoors,accessories,810216026493,Sodapup Ebowl Great Outdoors,0.0,24.14
1604,Sodapup Emat Flower Power,accessories,810216026073,Sodapup Emat Flower Power,0.0,16.79
1605,Sodapup Etray Mandala,accessories,810216026080,Sodapup Etray Mandala,0.0,19.94
1606,Sodapup Ebowl Honey Comb,accessories,810216026325,Sodapup Ebowl Honey Comb,0.0,24.14
1607,Sodapup Mini Honey Emat,accessories,810216025885,Sodapup Mini Honey Emat,0.0,14.69
1608,Sodapup Mini Surf Emat,accessories,810216026707,Sodapup Mini Surf Emat,0.0,14.69
1609,Sodapup Mini Groovy Love Emat,accessories,810216026714,Sodapup Mini Groovy Love Emat,0.0,14.69
1613,Small Food Scoop,accessories,030172105388,Small Food Scoop,-1.0,5.45
1614,Large Food Scoop,accessories,030172105395,Large Food Scoop,0.0,5.45
1617,Polkadot Bones Fashion Mat,accessories,842982075689,Polkadot Bones Fashion Mat,0.0,10.49
1619,Small Tan Bone Place Mat,accessories,030172041815,Small Tan Bone Place Mat,0.0,11.54
1622,8oz Stainless Cat Dish Decorated,accessories,079441002584,8oz Stainless Cat Dish Decorat,0.0,5.45
1626,I Love Cats Fish,accessories,030172044045,I Love Cats Fish,0.0,8.73
1628,Dry Ears Bowl,accessories,076484884702,Dry Ears Bowl,0.0,13.64
1630,Travel Trainer,accessories,769397145045,Travel Trainer,0.0,22.04
1633,Mediterranean Stainless Steel Double 1 Pint,accessories,077234058497,Mediterranean Stainless Steel,0.0,29.39
1634,Mediterranean Steel Double Diner 1 Qt,accessories,077234058503,Mediterranean Steel Double Din,0.0,31.49
1636,Large Breed Dog Bottle,accessories,076711006853,Large Breed Dog Bottle,0.0,13.64
1637,Faucet Waterer,accessories,076711008406,Faucet Waterer,0.0,10.49
1639,Petmate 3count Charcoal Water Filter,accessories,029695248498,Petmate 3count Charcoal Water,0.0,13.64
1645,Funfeeder Notch Blue Medium,accessories,700603678308,Funfeeder Notch Blue Medium,-1.0,11.54
1646,Small Kennel Cup,accessories,030172041723,Small Kennel Cup,0.0,10.49
1648,Snappyfit Stainlesssteel Bwl 20oz,accessories,027773008590,Snappyfit Stainlesssteel Bwl 2,0.0,15.74
1649,Ruff N Tuff Double Diner,accessories,842982072107,Ruff N Tuff Double Diner,0.0,15.74
1650,Petmate 7 Cup Bowl,accessories,029695230806,Petmate 7 Cup Bowl,0.0,5.45
1654,Bellabowl Pink Medium,accessories,842982071339,Retro Large Pink Bowl,0.0,15.74
1655,Bellabowl Pink Large,accessories,842982074026,Bellabowl Pink Large,0.0,15.74
1662,Bellabowl Blue Medium,accessories,842982074095,Bellabowl Blue Medium,0.0,9.44
