UPC,Original Description,Expanded Description
015905004503,"BULB T8 COLORMAX 18IN 15W","Bulb T8 COLORMAX 18IN 15W"
015905062329,"CLNR GRVL VAC W/BULB 10IN","Cleaner Gravel Vacuum W/BULB 10IN"
015905211017,"FXTR LED STRIPLIGHT BK 24","Fixture LED STRIPLIGHT Black 24"
042055044288,"HIK FOOD CCHLD GLD LG 8.8OZ","Hikari FOOD Cichlid GLD Large 8.8OZ"
042055046206,"FOOD CCHLD SINK MINI 3.5Z","FOOD Cichlid SINK Mini 3.5Z"
810074880572,"FXTR SKYAQUA LED PRO 18W","Fixture SKYAQUA LED PRO 18W"
029904701653,"GRVL RAINBOW 5#","Gravel RAINBOW 5#"
000116043403,"SLI COND PRIME 50ML","Seachem Conditioner PRIME 50ML"
000116372305,"SBSTRT FLOURITE BK 7.7#","Substrate FLOURITE Black 7.7#"
046798196297,"ORNMT GLOFSH CLAM SM","Ornament GloFish CLAM Small"
618940312154,"PERCH SAND T SM","PERCH SAND T Small"
618940313014,"WATERER BIRD SILO LG","WATERER BIRD Silo Large"
071859002576,"TRT SPRFD STC BIRD BLBRY5Z","Treat Superfood Stick BIRD BLBRY5Z"
035585517001,"TEASR CT SCRATTLES","Teaser Cat SCRATTLES"
034846550047,"BSCT WHSM GRMT SMKY 3#","Biscuit WHSM Gourmet Smoky 3#"
034846550115,"BSCT WHSM GRMT ORIG LG 3#","Biscuit WHSM Gourmet Original Large 3#"
034846727036,"TRT G/F JRKY CHKN 25OZ","Treat Grain Free Jerky Chicken 25OZ"
035585498980,"TOY CUTESEAS OCTOPUS MD","Toy CUTESEAS OCTOPUS Medium"
642863102943,"TRT DNTL ORIG LG 6OZ","Treat Dental Original Large 6OZ"
642863109317,"TRT PILLP CAPSL CHS 15.8OZ","Treat Pill Pocket Capsule Cheese 15.8OZ"
642863111297,"TRT PILLP CAPSL PB 15.8Z","Treat Pill Pocket Capsule Peanut Butter 15.8Z"
642863117923,"TRT DNTL PUP XS 6OZ","Treat Dental Puppy Extra Small 6OZ"
019014610907,"DRY PAH MINI CHK 15#","Dry Food ProActive Health Mini CHK 15#"
019014700714,"DRY PAH MINICHUNKS 30#","Dry Food ProActive Health MINICHUNKS 30#"
746772510407,"TOY 3KNT/2BALL RP MINI","Toy 3KNT/2BALL Rope Mini"
785184120071,"DRY W/G LAND 4#","Dry Food Whole Grain Land 4#"
785184420010,"TRT BNE KNUCKLE SMOKED","Treat Bone KNUCKLE SMOKED"
723633429856,"DRY LID VENISN/SWPOT 22#","Dry Food Limited Ingredient VENISN/SWPOT 22#"
723633606080,"TRT LIT VENISN/SWPOT S/B8Z","Treat LIT VENISN/SWPOT S/B8Z"
723633777483,"DRY LID SLMN/SWPOT 4#","Dry Food Limited Ingredient SLMN/SWPOT 4#"
723633778053,"DRY LID SLMN/SWPOT S/B 4#","Dry Food Limited Ingredient SLMN/SWPOT S/B 4#"
079100533015,"TRT PUP-PERONI MIG/BCN5.6Z","Treat PUP-PERONI MIG/BCN5.6Z"
077234541302,"TOY CUDDLE BUNNIES 13IN","Toy CUDDLE BUNNIES 13IN"
077234543160,"TOY BAMBNE BNE CHKN 5.75IN","Toy BAMBNE Bone Chicken 5.75IN"
077234543184,"TOY BAMBNE BNE CHKN 7.25IN","Toy BAMBNE Bone Chicken 7.25IN"
811794933203,"COND SENS SKIN 16OZ","Conditioner SENS SKIN 16OZ"
018214816300,"HLTHY EDBL ROAST BF SOUPER","Healthy Edible ROAST Beef SOUPER"
018214832430,"FLEXI CHW VARPK REG","FLEXI Chew VARPK Regular"
018214837428,"TOY TUG PUP BL","Toy TUG Puppy Blue"
018214853824,"HLTHY EDBL MEATY REG 4CT","Healthy Edible MEATY Regular 4CT"
091197710001,"FOOD HI-CAL CRICKET 11.5OZ","FOOD HI-CAL CRICKET 11.5OZ"
091197712012,"CRICKET QUENCHER CALC 16OZ","CRICKET QUENCHER CALC 16OZ"
091197730030,"SPLMT REPTA VIT 4OZ","Supplement REPTA VIT 4OZ"
783178593412,"RMDY MITE GRD LQ 8OZ","RMDY MITE GRD LQ 8OZ"
784369931709,"FOOD TORTOISE HAY 24OZ","FOOD TORTOISE HAY 24OZ"
784369932034,"PLNT WDLAND CANOPY 42CM","PLNT WDLAND CANOPY 42CM"
784369933734,"PLNT MONSTERA LEAF 18IN","PLNT MONSTERA LEAF 18IN"
759834050827,"SAND TRPCL MIX HC 4QT","SAND Tropical MIX HC 4QT"
097612008609,"FOOD CREATURE JELLY CUP3PK","FOOD CREATURE JELLY CUP3PK"
097612008807,"BEDNG CREATURES SOIL 1QT","Bedding CREATURES SOIL 1QT"
097612009613,"FOOD HRMT CRAB FRUIT SALAD","FOOD Hermit CRAB FRUIT SALAD"
097612320923,"HOOD REPTISUN LED SUNR22.5","HOOD REPTISUN LED SUNR22.5"
097612321029,"HOOD REPTISUN LED CMB 24IN","HOOD REPTISUN LED CMB 24IN"
097612348248,"BULB T5 HO REPTISUN10 22IN","Bulb T5 HO REPTISUN10 22IN"
097612751246,"BEDNG ASPEN SNAKE 24QT","Bedding ASPEN SNAKE 24QT"
097612800319,"RMDY SHEDDING AID 2.25OZ","RMDY SHEDDING AID 2.25OZ"
066380004311,"BEDNG CF COLRS PR 23L","Bedding CF COLRS Purple 23L"
066380004359,"BEDNG CF COLRS BL 50L","Bedding CF COLRS Blue 50L"
066380006308,"BEDNG CF SPEC SEA GLASS23L","Bedding CF SPEC SEA GLASS23L"
730582206360,"SAND CHINCH BATH 52.8OZ","SAND CHINCH BATH 52.8OZ"
744845302096,"FOOD ESSNTL HAM/GERB 1#","FOOD ESSNTL HAM/GERB 1#"
744845302102,"FOOD ESSNTL CHINCH 3#","FOOD ESSNTL CHINCH 3#"
